Code;Libellé;Emplois, total 2021;Population résidante 2022;Densité d'habitants 2021
01196;Jayat;326;1276;77.2
01197;Journans;39;384;156.4
01198;Joyeux;15;262;15.8
01199;Jujurieux;524;2209;138
01200;Labalme;15;207;23.9
01202;Lagnieu;2342;7321;266.7
01203;Laiz;286;1292;126
01204;Le Poizat-Lalleyriat;93;740;22.5
01206;Lantenay;21;265;41
01207;Lapeyrouse;60;337;16.3
01208;Lavours;21;138;21.6
01209;Léaz;49;887;71.7
01210;Lélex;102;236;13
01211;Lent;226;1459;44.7
01212;Lescheroux;128;720;35.6
01213;Leyment;312;1417;98.2
01214;Leyssard;5;163;17.9
01215;Surjoux-Lhopital;20;140;17.6
01216;Lhuis;234;891;36.5
01219;Lompnas;15;162;12.8
01224;Loyettes;856;3468;158.9
01225;Lurcy;24;404;81.7
01227;Magnieu;58;651;57.6
01228;Maillat;321;693;60
01229;Malafretaz;113;1235;132.1
01230;Mantenay-Montlin;74;320;28.5
01231;Manziat;705;1985;154.8
01232;Marboz;480;2262;56.5
01233;Marchamp;0;135;10.1
01234;Marignieu;49;164;47
01235;Marlieux;235;1186;70.1
01236;Marsonnas;81;1034;56
01237;Martignat;694;1667;126.1
01238;Massieux;767;2733;877.7
01239;Massignieu-de-Rives;74;653;67.4
01240;Matafelon-Granges;69;630;29.2
01241;Meillonnas;283;1383;78
01242;Mérignat;25;133;42.9
01243;Messimy-sur-Saône;140;1312;216.5
01244;Meximieux;2673;8198;588
01245;Bohas-Meyriat-Rignat;74;951;41
01246;Mézériat;310;2179;114.3
01247;Mijoux;130;297;13.5
01248;Mionnay;299;2309;113.5
01249;Miribel;5062;10450;417.5
01250;Misérieux;318;2010;269.1
01252;Mogneneins;61;824;93.7
01254;Montagnat;644;2164;156
01255;Montagnieu;25;684;107.1
01257;Montanges;93;348;25.5
01258;Montceaux;291;1202;119.4
01259;Montcet;46;715;105.4
01260;Le Montellier;46;329;20.7
01261;Monthieux;139;673;63.4
01262;Montluel;3123;6879;170.5
01263;Montmerle-sur-Saône;961;3798;911.5
01264;Montracol;105;1008;69.2
01265;Montréal-la-Cluse;1940;3584;276
01266;Montrevel-en-Bresse;1433;2661;251
01267;Nurieux-Volognat;445;973;51.2
01268;Murs-et-Gélignieux;25;239;37.2
01269;Nantua;1338;3431;269.7
01272;Neuville-les-Dames;225;1540;57
01273;Neuville-sur-Ain;216;1798;90.9
01274;Les Neyrolles;152;623;66.5
01275;Neyron;1122;2479;473.5
01276;Niévroz;299;1648;156.2
01277;Nivollet-Montgriffon;0;119;14
01279;Oncieu;N/A - secret statistique;72;9.4
01280;Ordonnaz;9;146;9.5
01281;Ornex;607;4903;831.6
01282;Outriaz;166;258;43.1
01283;Oyonnax;10266;22378;615.7
01284;Ozan;183;721;109.8
01285;Parcieux;199;1317;420.1
01286;Parves et Nattages;55;943;60.2
01288;Péron;468;2900;109.1
01289;Péronnas;2775;6437;367.4
01290;Pérouges;360;1382;71
01291;Perrex;244;861;77
01293;Peyriat;23;150;24.8
01294;Peyrieu;179;918;64.3
01295;Peyzieux-sur-Saône;60;656;76.9
01296;Pirajoux;25;400;31.3
01297;Pizay;62;922;81.8
01298;Plagne;16;166;26
01299;Le Plantay;72;569;29
01301;Polliat;558;2694;131.9
01302;Pollieu;5;167;45.3
01303;Poncin;688;1766;87.5
01304;Pont-d'Ain;1157;2862;255.9
01305;Pont-de-Vaux;1553;2184;290.3
01306;Pont-de-Veyle;650;1600;839.7
01307;Port;598;843;198.4
01308;Pougny;56;792;102.4
01309;Pouillat;5;79;13
01310;Prémeyzel;142;245;32.4
01311;Prémillieu;15;47;5.2
01313;Prévessin-Moëns;1394;9081;750.9
01314;Priay;253;1803;111.9
01317;Ramasse;20;332;33.6
01318;Rancé;86;760;77.8
01319;Relevant;65;467;37.7
01320;Replonges;1335;3929;234.9
01321;Revonnas;61;905;115.6
01322;Reyrieux;2281;5228;324.7
01323;Reyssouze;106;1003;105.9
01325;Rignieux-le-Franc;85;1131;73.1
01328;Romans;192;628;27.6
01329;Rossillon;10;164;19.8
01331;Saint-Alban;5;195;23.8
01332;Saint-André-de-Bâgé;168;819;299.6
01333;Saint-André-de-Corcy;1224;3369;162.5
01334;Saint-André-d'Huiriat;68;671;75
01335;Saint-André-le-Bouchoux;80;427;44.8
01336;Saint-André-sur-Vieux-Jonc;184;1216;50
01337;Saint-Bénigne;258;1351;81.4
01338;Groslée-Saint-Benoit;182;1232;42.8
01339;Saint-Bernard;208;1544;475.2
01342;Sainte-Croix;96;548;51.5
01343;Saint-Cyr-sur-Menthon;922;1867;108.9
01344;Saint-Denis-lès-Bourg;1420;6078;482
01345;Saint-Denis-en-Bugey;170;2258;858.2
01346;Saint-Didier-d'Aussiat;71;845;55.8
01347;Saint-Didier-de-Formans;193;2176;327.9
01348;Saint-Didier-sur-Chalaronne;1002;2969;122.2
01349;Saint-Éloi;66;524;36.7
01350;Saint-Étienne-du-Bois;510;2569;90
01351;Saint-Étienne-sur-Chalaronne;172;1625;76.8
01352;Saint-Étienne-sur-Reyssouze;30;576;42
01353;Sainte-Euphémie;234;1741;375.3
01354;Saint-Genis-Pouilly;3791;14584;1490.1
01355;Saint-Genis-sur-Menthon;57;488;42.1
01356;Saint-Georges-sur-Renon;24;214;35.2
01357;Saint-Germain-de-Joux;90;505;44.8
01358;Saint-Germain-les-Paroisses;20;423;26.1
01359;Saint-Germain-sur-Renon;39;262;16.3
01360;Saint-Jean-de-Gonville;289;2042;160.8
01361;Saint-Jean-de-Niost;188;1862;128.7
01362;Saint-Jean-de-Thurigneux;99;850;51.8
01363;Saint-Jean-le-Vieux;446;1799;116.5
01364;Saint-Jean-sur-Reyssouze;142;764;27.9
01365;Saint-Jean-sur-Veyle;196;1154;103.4
01366;Sainte-Julie;549;1092;97.8
01367;Saint-Julien-sur-Reyssouze;192;687;94
01368;Saint-Julien-sur-Veyle;70;853;86.2
01369;Saint-Just;610;953;282.2
01370;Saint-Laurent-sur-Saône;375;1735;3130.2
01371;Saint-Marcel;71;1300;108.3
01372;Saint-Martin-de-Bavel;67;431;51.3
01373;Saint-Martin-du-Frêne;425;1027;54
01374;Saint-Martin-du-Mont;315;1953;67.6
01375;Saint-Martin-le-Châtel;101;784;61.2
01376;Saint-Maurice-de-Beynost;1876;4243;594.4
01378;Saint-Maurice-de-Gourdans;304;2826;108.2
01379;Saint-Maurice-de-Rémens;94;758;73
01380;Saint-Nizier-le-Bouchoux;142;589;21.1
